epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,15155.4,0.81959,0.47453,0.88179,0.90552,0.85413,0.92534,0.65462,0.87375,0.46992,0.87463,4.47606e-05,4.47606e-05,4.47606e-05
90,15306.5,0.81981,0.47551,0.8833,0.90635,0.85522,0.92568,0.65563,0.87044,0.46822,0.87352,3.9264e-05,3.9264e-05,3.9264e-05
91,15458.4,0.81578,0.47411,0.88021,0.90333,0.85947,0.92696,0.65842,0.86858,0.46728,0.87241,3.4227e-05,3.4227e-05,3.4227e-05
92,15610.6,0.80889,0.47111,0.87965,0.90247,0.86005,0.9267,0.65834,0.86978,0.46717,0.87261,2.96546e-05,2.96546e-05,2.96546e-05
93,15759.1,0.81504,0.47152,0.87685,0.90604,0.85701,0.92727,0.65851,0.86807,0.46602,0.8718,2.55513e-05,2.55513e-05,2.55513e-05
94,15907.5,0.8087,0.46926,0.87746,0.90565,0.85906,0.92711,0.65969,0.86325,0.46449,0.87072,2.19212e-05,2.19212e-05,2.19212e-05
95,16056.5,0.8068,0.46673,0.87829,0.90702,0.85774,0.92698,0.6605,0.86328,0.46367,0.87089,1.87678e-05,1.87678e-05,1.87678e-05
96,16205.7,0.79903,0.46444,0.87694,0.91001,0.85664,0.92704,0.66038,0.86434,0.4639,0.87122,1.60943e-05,1.60943e-05,1.60943e-05
97,16357.0,0.80205,0.46626,0.87873,0.90773,0.85909,0.92701,0.65964,0.86494,0.46364,0.87144,1.39032e-05,1.39032e-05,1.39032e-05
98,16506.7,0.8002,0.46489,0.87681,0.90649,0.86191,0.92785,0.65988,0.86468,0.46314,0.87138,1.21968e-05,1.21968e-05,1.21968e-05
99,16657.2,0.80064,0.46599,0.87832,0.90536,0.86279,0.92783,0.66122,0.86213,0.46207,0.87083,1.09768e-05,1.09768e-05,1.09768e-05
100,16807.8,0.80545,0.46819,0.87828,0.90667,0.86255,0.92793,0.66207,0.86154,0.46139,0.87082,1.02443e-05,1.02443e-05,1.02443e-05
