epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,20018.7,0.68307,0.39318,0.87136,0.95579,0.90576,0.96243,0.73268,0.73983,0.38494,0.863,6.39518e-05,6.39518e-05,6.39518e-05
87,20241.7,0.66204,0.38208,0.86357,0.95112,0.90967,0.9619,0.73247,0.73927,0.38529,0.86311,5.71106e-05,5.71106e-05,5.71106e-05
88,20464.4,0.66156,0.38389,0.86615,0.95388,0.90911,0.9631,0.73522,0.73591,0.38313,0.86214,5.07115e-05,5.07115e-05,5.07115e-05
89,20687.1,0.64769,0.3773,0.86119,0.95128,0.9121,0.96307,0.73458,0.73822,0.38253,0.86247,4.47606e-05,4.47606e-05,4.47606e-05
90,20910,0.64885,0.3751,0.8622,0.9529,0.91474,0.96398,0.73618,0.73749,0.3813,0.86224,3.9264e-05,3.9264e-05,3.9264e-05
91,21132,0.64517,0.3735,0.86198,0.95488,0.91231,0.9644,0.73685,0.73909,0.38065,0.86256,3.4227e-05,3.4227e-05,3.4227e-05
92,21353.4,0.63915,0.37175,0.85985,0.95452,0.9127,0.96453,0.7384,0.73392,0.37997,0.86143,2.96546e-05,2.96546e-05,2.96546e-05
93,21574,0.6412,0.37108,0.85479,0.95462,0.91353,0.96448,0.73832,0.73817,0.37997,0.86261,2.55513e-05,2.55513e-05,2.55513e-05
94,21794.8,0.63344,0.36871,0.8565,0.95342,0.91438,0.96515,0.74008,0.73354,0.37833,0.86144,2.19212e-05,2.19212e-05,2.19212e-05
95,22015.3,0.63463,0.36889,0.85743,0.95506,0.91175,0.96489,0.73991,0.73427,0.37754,0.86191,1.87678e-05,1.87678e-05,1.87678e-05
96,22235.5,0.62744,0.36625,0.8553,0.95204,0.9169,0.96526,0.73959,0.73528,0.37781,0.86214,1.60943e-05,1.60943e-05,1.60943e-05
97,22455.6,0.6278,0.36601,0.8573,0.94965,0.91919,0.96557,0.73947,0.73439,0.37739,0.86199,1.39032e-05,1.39032e-05,1.39032e-05
98,22676.1,0.62735,0.36589,0.85669,0.95166,0.91635,0.96521,0.73976,0.73312,0.3775,0.86174,1.21968e-05,1.21968e-05,1.21968e-05
99,22896.7,0.62814,0.36738,0.85782,0.95281,0.91546,0.9652,0.74042,0.73131,0.37674,0.86101,1.09768e-05,1.09768e-05,1.09768e-05
100,23118.1,0.63203,0.36783,0.85772,0.95278,0.91628,0.96563,0.74051,0.73199,0.37664,0.86146,1.02443e-05,1.02443e-05,1.02443e-05
